./weather_save.py: line 1: import: command not found
./weather_save.py: line 2: from: command not found
./weather_save.py: line 3: import: command not found
./weather_save.py: line 4: import: command not found
./weather_save.py: line 5: from: command not found
./weather_save.py: line 6: import: command not found
./weather_save.py: line 7: import: command not found
./weather_save.py: line 8: from: command not found
./weather_save.py: line 10: syntax error near unexpected token `('
./weather_save.py: line 10: `if not os.path.exists('weather_data/'):'
UID        PID  PPID  C STIME TTY          TIME CMD
root       398     2  0  2023 ?        00:00:00 [nfit]
root       401     2  0  2023 ?        00:00:00 [scsi_eh_1]
root       402     2  0  2023 ?        00:00:00 [scsi_tmf_1]
root       403     2  0  2023 ?        00:00:00 [scsi_eh_2]
root       404     2  0  2023 ?        00:00:00 [scsi_tmf_2]
root       413     2  0  2023 ?        00:00:00 [scsi_eh_3]
root       414     2  0  2023 ?        00:00:00 [scsi_tmf_3]
root       415     2  0  2023 ?        00:00:00 [scsi_eh_4]
root       416     2  0  2023 ?        00:00:00 [scsi_tmf_4]
root       417     2  0  2023 ?        00:00:00 [scsi_eh_5]
root       418     2  0  2023 ?        00:00:00 [scsi_tmf_5]
root       419     2  0  2023 ?        00:00:00 [scsi_eh_6]
root       420     2  0  2023 ?        00:00:00 [scsi_tmf_6]
root       421     2  0  2023 ?        00:00:00 [scsi_eh_7]
root       422     2  0  2023 ?        00:00:00 [scsi_tmf_7]
root       423     2  0  2023 ?        00:00:00 [scsi_eh_8]
root       424     2  0  2023 ?        00:00:00 [scsi_tmf_8]
root       425     2  0  2023 ?        00:00:00 [scsi_eh_9]
root       426     2  0  2023 ?        00:00:00 [scsi_tmf_9]
root       427     2  0  2023 ?        00:00:00 [scsi_eh_10]
root       428     2  0  2023 ?        00:00:00 [scsi_tmf_10]
root       429     2  0  2023 ?        00:00:00 [scsi_eh_11]
root       430     2  0  2023 ?        00:00:00 [scsi_tmf_11]
root       431     2  0  2023 ?        00:00:00 [scsi_eh_12]
root       432     2  0  2023 ?        00:00:00 [scsi_tmf_12]
root       433     2  0  2023 ?        00:00:00 [scsi_eh_13]
root       434     2  0  2023 ?        00:00:00 [scsi_tmf_13]
root       435     2  0  2023 ?        00:00:00 [scsi_eh_14]
root       436     2  0  2023 ?        00:00:00 [scsi_tmf_14]
root       437     2  0  2023 ?        00:00:00 [scsi_eh_15]
root       438     2  0  2023 ?        00:00:00 [scsi_tmf_15]
root       439     2  0  2023 ?        00:00:00 [scsi_eh_16]
root       440     2  0  2023 ?        00:00:00 [scsi_tmf_16]
root       441     2  0  2023 ?        00:00:00 [scsi_eh_17]
root       442     2  0  2023 ?        00:00:00 [scsi_tmf_17]
root       443     2  0  2023 ?        00:00:00 [scsi_eh_18]
root       444     2  0  2023 ?        00:00:00 [scsi_tmf_18]
root       445     2  0  2023 ?        00:00:00 [scsi_eh_19]
root       446     2  0  2023 ?        00:00:00 [scsi_tmf_19]
root       447     2  0  2023 ?        00:00:00 [scsi_eh_20]
root       448     2  0  2023 ?        00:00:00 [scsi_tmf_20]
root       449     2  0  2023 ?        00:00:00 [scsi_eh_21]
root       450     2  0  2023 ?        00:00:00 [scsi_tmf_21]
root       452     2  0  2023 ?        00:00:00 [scsi_eh_22]
root       453     2  0  2023 ?        00:00:00 [scsi_tmf_22]
root       454     2  0  2023 ?        00:00:00 [scsi_eh_23]
root       455     2  0  2023 ?        00:00:00 [scsi_tmf_23]
root       456     2  0  2023 ?        00:00:00 [scsi_eh_24]
root       457     2  0  2023 ?        00:00:00 [scsi_tmf_24]
root       458     2  0  2023 ?        00:00:00 [scsi_eh_25]
root       459     2  0  2023 ?        00:00:00 [scsi_tmf_25]
root       460     2  0  2023 ?        00:00:00 [scsi_eh_26]
root       461     2  0  2023 ?        00:00:00 [scsi_tmf_26]
root       463     2  0  2023 ?        00:00:00 [scsi_eh_27]
root       464     2  0  2023 ?        00:00:00 [scsi_tmf_27]
root       466     2  0  2023 ?        00:00:00 [scsi_eh_28]
root       467     2  0  2023 ?        00:00:00 [scsi_tmf_28]
root       468     2  0  2023 ?        00:00:00 [scsi_eh_29]
root       469     2  0  2023 ?        00:00:00 [scsi_tmf_29]
root       470     2  0  2023 ?        00:00:00 [scsi_eh_30]
root       471     2  0  2023 ?        00:00:00 [scsi_tmf_30]
root       472     2  0  2023 ?        00:00:00 [scsi_eh_31]
root       473     2  0  2023 ?        00:00:00 [scsi_tmf_31]
root       474     2  0  2023 ?        00:00:00 [scsi_eh_32]
root       475     2  0  2023 ?        00:00:00 [scsi_tmf_32]
root       507     2  0  2023 ?        00:00:01 [irq/16-vmwgfx]
root       508     2  0  2023 ?        00:00:00 [ttm_swap]
root       583     2  0  2023 ?        00:00:00 [kdmflush]
root       584     2  0  2023 ?        00:00:00 [bioset]
root       595     2  0  2023 ?        00:00:00 [kdmflush]
root       596     2  0  2023 ?        00:00:00 [bioset]
root       609     2  0  2023 ?        00:00:00 [bioset]
root       610     2  0  2023 ?        00:00:00 [xfsalloc]
root       611     2  0  2023 ?        00:00:00 [xfs_mru_cache]
root       612     2  0  2023 ?        00:00:00 [xfs-buf/dm-0]
root       613     2  0  2023 ?        00:00:00 [xfs-data/dm-0]
root       614     2  0  2023 ?        00:00:00 [xfs-conv/dm-0]
root       615     2  0  2023 ?        00:00:00 [xfs-cil/dm-0]
root       616     2  0  2023 ?        00:00:00 [xfs-reclaim/dm-]
root       617     2  0  2023 ?        00:00:00 [xfs-log/dm-0]
root       618     2  0  2023 ?        00:00:00 [xfs-eofblocks/d]
root       619     2  0  2023 ?        00:10:27 [xfsaild/dm-0]
root       620     2  0  2023 ?        00:00:00 [kworker/4:1H]
root       704     1  0  2023 ?        00:02:07 /usr/lib/systemd/systemd-journald
root       723     1  0  2023 ?        00:00:00 /usr/sbin/lvmetad -f
root       848     2  0  2023 ?        00:00:00 [kdmflush]
root       849     2  0  2023 ?        00:00:00 [bioset]
root       877     2  0  2023 ?        00:00:00 [xfs-buf/sda1]
root       878     2  0  2023 ?        00:00:00 [xfs-data/sda1]
root       879     2  0  2023 ?        00:00:00 [xfs-conv/sda1]
root       880     2  0  2023 ?        00:00:00 [xfs-cil/sda1]
root       881     2  0  2023 ?        00:00:00 [xfs-reclaim/sda]
root       882     2  0  2023 ?        00:00:00 [xfs-log/sda1]
root       883     2  0  2023 ?        00:00:00 [xfs-eofblocks/s]
root       885     2  0  2023 ?        00:00:00 [xfsaild/sda1]
root       893     2  0  2023 ?        00:00:00 [xfs-buf/dm-2]
root       895     2  0  2023 ?        00:00:00 [xfs-data/dm-2]
root       896     2  0  2023 ?        00:00:00 [xfs-conv/dm-2]
root       897     2  0  2023 ?        00:00:00 [xfs-cil/dm-2]
root       898     2  0  2023 ?        00:00:00 [xfs-reclaim/dm-]
root       899     2  0  2023 ?        00:00:00 [xfs-log/dm-2]
root       900     2  0  2023 ?        00:00:00 [xfs-eofblocks/d]
root       901     2  0  2023 ?        00:01:39 [xfsaild/dm-2]
root       904     2  0  2023 ?        00:00:00 [kworker/13:1H]
root       952     1  0  2023 ?        00:00:11 /sbin/auditd
root       954   952  0  2023 ?        00:00:15 /sbin/audispd
root       958   954  0  2023 ?        00:00:07 /usr/sbin/sedispatch
root       960     2  0  2023 ?        00:00:00 [rpciod]
root       961     2  0  2023 ?        00:00:00 [xprtiod]
rtkit      996     1  0  2023 ?        00:00:25 /usr/libexec/rtkit-daemon
polkitd    998     1  0  2023 ?        00:06:27 /usr/lib/polkit-1/polkitd --no-debug
root       999     1  0  2023 ?        00:01:53 /usr/lib/systemd/systemd-logind
root      1012     1  0  2023 ?        00:00:15 /usr/sbin/ModemManager
root      1018     1  0  2023 ?        00:00:21 /usr/libexec/accounts-daemon
root      1044     1  0  2023 ?        00:04:19 /usr/sbin/irqbalance --foreground
root      1048     1  0  2023 ?        00:08:38 /sbin/rngd -f
root      1049     1  0  2023 ?        00:00:03 /usr/sbin/gssproxy -D
avahi     1050     1  0  2023 ?        00:00:11 avahi-daemon: running [linux.local]
avahi     1058  1050  0  2023 ?        00:00:00 avahi-daemon: chroot helper
libstor+  1060     1  0  2023 ?        00:00:07 /usr/bin/lsmd -d
root      1061     1  0  2023 ?        00:00:00 /usr/sbin/abrtd -d -s
root      1062     1  0  2023 ?        00:00:08 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Kernel panic - not syncing: Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
root      1067     1  0  2023 ?        00:00:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
root      1068     1  0  2023 ?        00:00:03 /usr/sbin/smartd -n -q never
dbus      1071     1  0  2023 ?        00:05:06 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root      1093     1  0  2023 ?        00:00:29 /usr/bin/python2 -Es /usr/sbin/firewalld --nofork --nopid
root      1099     1  0  2023 ?        00:02:00 /bin/bash /usr/sbin/ksmtuned
root      1102     2  0  2023 ?        00:00:08 [kworker/0:1H]
root      1104     1  0  2023 ?        02:51:28 /usr/sbin/NetworkManager --no-daemon
root      1173     2  0  2023 ?        00:00:06 [kworker/14:1H]
root      1233     2  0  2023 ?        00:00:00 [kworker/6:1H]
root      1440     1  0  2023 ?        00:00:05 /usr/sbin/libvirtd
root      1452     1  0  2023 ?        00:00:00 /usr/sbin/gdm
root      1479     1  0  2023 ?        00:00:00 /usr/sbin/atd -f
root      1532     2  0  2023 ?        00:00:00 [kworker/5:1H]
root      1576     1  0  2023 ?        00:00:41 /usr/libexec/postfix/master -w
postfix   1579  1576  0  2023 ?        00:00:18 qmgr -l -t unix -u
nobody    1637     1  0  2023 ?        00:00:01 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root      1639  1637  0  2023 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root      1641     2  0  2023 ?        00:00:00 [kworker/15:1H]
root      1690     2  0  2023 ?        00:00:00 [kworker/1:1H]
root      1691     2  0  2023 ?        00:00:00 [kworker/10:1H]
root      1692     2  0  2023 ?        00:00:00 [kworker/7:1H]
root      1693     2  0  2023 ?        00:00:00 [kworker/8:1H]
root      1694     2  0  2023 ?        00:00:00 [kworker/12:1H]
root      1696     2  0  2023 ?        00:00:00 [kworker/9:1H]
root      1697     2  0  2023 ?        00:00:00 [kworker/11:1H]
root      1856  1452  0  2023 tty1     00:00:24 /usr/bin/X :0 -background none -noreset -audit 4 -verbose -auth /run/gdm/auth-for-gdm-omCFJT/database -seat seat0 -nolisten tcp vt1
root      1979  1452  0  2023 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
gdm       1994  1979  0  2023 ?        00:00:32 /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       2043     1  0  2023 ?        00:00:00 dbus-launch --exit-with-session /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       2051     1  0  2023 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
root      2074     2  0 Jan23 ?        00:00:00 [kworker/12:0]
gdm       2109     1  0  2023 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
gdm       2116  2109  0  2023 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm       2121     1  0  2023 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
gdm       2253  1994  0  2023 ?        00:36:16 /usr/bin/gnome-shell
root      2310     1  0  2023 ?        00:00:17 /usr/libexec/upowerd
gdm       2433     1  0  2023 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
gdm       2806  2253  0  2023 ?        00:00:37 ibus-daemon --xim --panel disable
gdm       2813  2806  0  2023 ?        00:00:00 /usr/libexec/ibus-dconf
gdm       2818     1  0  2023 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
gdm       2830     1  0  2023 ?        00:00:00 /usr/libexec/ibus-portal
gdm       2924     1  0  2023 ?        00:00:00 /usr/libexec/xdg-permission-store
root      2945     1  0  2023 ?        00:00:18 /usr/libexec/boltd
root      2946     1  0  2023 ?        00:00:11 /usr/sbin/wpa_supplicant -u -f /var/log/wpa_supplicant.log -c /etc/wpa_supplicant/wpa_supplicant.conf -P /var/run/wpa_supplicant.pid
gdm       2949  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-xsettings
gdm       2950  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-a11y-settings
gdm       2955  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-clipboard
root      2957     1  0  2023 ?        00:01:50 /usr/libexec/packagekitd
gdm       2959  1994  0  2023 ?        01:02:49 /usr/libexec/gsd-color
gdm       2961  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-datetime
gdm       2963  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-housekeeping
gdm       2964  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-keyboard
gdm       2967  1994  0  2023 ?        00:00:15 /usr/libexec/gsd-media-keys
gdm       2969  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-mouse
gdm       2977  1994  0  2023 ?        00:00:18 /usr/libexec/gsd-power
gdm       2981  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-print-notifications
gdm       2984  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-rfkill
gdm       2986  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
gdm       2988  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-sharing
gdm       2995  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-smartcard
gdm       2998  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-sound
gdm       3004  1994  0  2023 ?        00:00:00 /usr/libexec/gsd-wacom
colord    3036     1  0  2023 ?        00:00:00 /usr/libexec/colord
gdm       3108  2806  0  2023 ?        00:00:00 /usr/libexec/ibus-engine-simple
root      3167     2  0  2023 ?        00:00:00 [kworker/3:1H]
root      3441     2  0  2023 ?        00:00:00 [kworker/2:1H]
root      4026     2  0 Jan23 ?        00:00:00 [kworker/11:1]
root     10353     1  0 Jan18 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root     10713     2  0 Jan23 ?        00:00:00 [kworker/5:0]
root     11772     2  0 Jan23 ?        00:00:00 [kworker/15:2]
root     12475     2  0 Jan23 ?        00:00:00 [kworker/4:1]
root     17135     2  0 01:45 ?        00:00:00 [kworker/5:1]
root     18334 31213  0 Jan20 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 7200 -container-ip 172.19.0.2 -container-port 7200
root     18342 31213  0 Jan20 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 7200 -container-ip 172.19.0.2 -container-port 7200
root     18356     1  0 Jan20 ?        00:00:32 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 84945d3e97eebbbaee33f06b3cf258596db19364d7c4ae600b1a0fa740f676e5 -address /run/containerd/containerd.sock
root     18379 18356  0 Jan20 ?        00:00:00 python3 web.py
root     18409 18379  0 Jan20 ?        00:11:34 /usr/local/bin/python3 web.py
root     19908     2  0 Jan23 ?        00:00:00 [kworker/9:2]
root     20201     2  0 03:29 ?        00:00:01 [kworker/0:0]
root     20509     2  0 03:39 ?        00:00:00 [kworker/1:0]
root     20815     2  0 Jan23 ?        00:00:04 [kworker/3:0]
root     22046     2  0 04:30 ?        00:00:00 [kworker/2:0]
root     22355     2  0 04:40 ?        00:00:00 [kworker/10:0]
root     24000     2  0 05:35 ?        00:00:00 [kworker/6:1]
root     24425     2  0 05:50 ?        00:00:00 [kworker/10:2]
root     24570     2  0 05:55 ?        00:00:00 [kworker/6:0]
root     24805     2  0 06:02 ?        00:00:00 [kworker/2:2]
root     24859     2  0 06:04 ?        00:00:00 [kworker/4:2]
root     25145     2  0 06:14 ?        00:00:00 [kworker/9:1]
root     25507     2  0 06:26 ?        00:00:00 [kworker/3:2]
postfix  25658  1576  0 06:31 ?        00:00:00 pickup -l -t unix -u
root     26410     2  0 06:57 ?        00:00:00 [kworker/u32:1]
root     26610     2  0 07:03 ?        00:00:00 [kworker/11:2]
root     26666     2  0 07:05 ?        00:00:00 [kworker/8:1]
root     26723     2  0 07:07 ?        00:00:00 [kworker/12:2]
root     26771 29670  0 07:09 ?        00:00:00 sshd: hj5258 [priv]
hj5258   26776 26771  0 07:09 ?        00:00:00 sshd: hj5258@pts/0
hj5258   26787 26776  0 07:09 pts/0    00:00:00 -bash
root     26971     2  0 07:09 ?        00:00:00 [kworker/7:0]
root     26982 31213  0 07:09 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 5000 -container-ip 172.22.0.2 -container-port 5000
root     26989 31213  0 07:09 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 5000 -container-ip 172.22.0.2 -container-port 5000
root     27005     1  0 07:09 ?        00:00:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 6de0d6a415171a95968ec3a050ac829d3cca2138d2ad746de8a7235fd64215de -address /run/containerd/containerd.sock
root     27026 27005  0 07:09 ?        00:00:05 python3 -u weather_update.py
root     27334     2  0 07:18 ?        00:00:00 [kworker/14:2]
root     27360     2  0 07:19 ?        00:00:00 [kworker/13:0]
root     27396     2  0 07:20 ?        00:00:00 [kworker/1:1]
root     27532     2  0 07:25 ?        00:00:00 [kworker/15:1]
root     27588     2  0 07:27 ?        00:00:00 [kworker/u32:2]
root     27634     2  0 07:29 ?        00:00:00 [kworker/0:2]
root     27640     2  0 07:29 ?        00:00:00 [kworker/14:0]
root     27641     2  0 07:29 ?        00:00:00 [kworker/13:2]
root     27682     2  0 07:30 ?        00:00:00 [kworker/7:1]
root     27911     2  0 07:34 ?        00:00:00 [kworker/0:1]
root     27912     2  0 07:34 ?        00:00:00 [kworker/14:1]
root     27948     2  0 07:35 ?        00:00:00 [kworker/13:1]
root     28033  1099  0 07:37 ?        00:00:00 sleep 60
hj5258   28052 26787  0 07:38 pts/0    00:00:00 ps -ef
root     29434     2  0 Jan22 ?        00:00:01 [kworker/8:3]
root     29514 31213  0 Jan22 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 9000 -container-ip 172.20.0.2 -container-port 9000
root     29521 31213  0 Jan22 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 9000 -container-ip 172.20.0.2 -container-port 9000
root     29537     1  0 Jan22 ?        00:00:11 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 2cb0a11ca3a9586f1fa7a0e25ea325de2e4ee3db3ca30ccb663eb70204b0fc70 -address /run/containerd/containerd.sock
root     29557 29537  0 Jan22 ?        00:01:53 /usr/local/bin/python /usr/local/bin/streamlit run app.py --server.port 9000
root     29621     1  0 Jan18 ?        00:00:00 /usr/sbin/cupsd -f
root     29670     1  0 Jan18 ?        00:00:00 /usr/sbin/sshd -D
root     30006     1  0 Jan18 ?        00:00:47 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root     30046     1  0 Jan18 ?        00:00:28 /usr/sbin/rsyslogd -n
root     30106     1  0 Jan18 ?        00:00:11 /usr/sbin/crond -n
root     31213     1  0 Jan18 ?        00:04:45 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root     31509     1  0 Jan18 ?        00:33:17 /usr/bin/containerd
root     31621     1  0 Jan18 ?        00:00:00 /usr/bin/VGAuthService -s
root     31622     1  0 Jan18 ?        00:08:04 /usr/bin/vmtoolsd
